name,x,y,z,AAL_Label,Broad_ROI
ROF1,31.5959,-12.7329,-40.9319065863622,Outside_AAL,Other
ROF2,43.2995,-6.55344,-46.5707180891655,Temporal_Inf_R,Temporal
ROF3,51.8338,3.90134,-44.7284076578996,Temporal_Inf_R,Temporal
ROF4,54.8079,11.2634,-40.3001990911492,Temporal_Pole_Mid_R,Temporal
ROF5,56.5602,15.0265,-30.5122587460553,Temporal_Pole_Mid_R,Temporal
ROF6,58.8592,13.3508,-18.3017048611099,Temporal_Pole_Sup_R,Temporal
ROF7,57.7398,14.1366,-6.09872898770406,Temporal_Pole_Sup_R,Temporal
ROF8,60.9134,16.4282,3.97524592595509,Frontal_Inf_Oper_R,IFG
RFA1,13.1235,46.5131,-27.4738764443277,Outside_AAL,Other
RFA2,18.6158,41.0291,-27.0946070181132,Outside_AAL,Other
RFA3,23.6289,34.5786,-27.3497806135267,Outside_AAL,Other
RFA4,29.1145,30.6749,-25.947732002398,Outside_AAL,Other
RFA5,41.5505,31.822,-22.0750338856803,Outside_AAL,Other
RFA6,53.0248,25.81,-13.3537457603495,Frontal_Inf_Orb_R,IFG
RFA7,56.6628,18.9163,-2.48954835000704,Frontal_Inf_Oper_R,IFG
RFA8,61.0911,19.2728,8.0956141112496,Frontal_Inf_Tri_R,IFG
RFB1,39.7166,61.3138,2.27914820999053,Frontal_Mid_R,PFC
RFB2,38.0698,59.3556,15.1183965965562,Outside_AAL,Other
RFB3,34.4215,54.5974,27.4655928304252,Frontal_Mid_R,PFC
RFB4,31.4544,47.5839,35.5691680968671,Frontal_Mid_R,PFC
RFB5,27.5957,43.8125,44.5763850396057,Frontal_Mid_R,PFC
RFB6,23.9676,40.5607,47.3775747515036,Frontal_Sup_R,PFC
RFB7,17.2782,34.4921,56.64250543709,Frontal_Sup_R,PFC
RFB8,9.29744,25.691,59.8792413187641,Frontal_Sup_Medial_R,PFC
RFC1,69.4415,-17.0965,16.9048952578601,Rolandic_Oper_R,Other
RFC2,67.5611,-11.7896,25.1290817758371,Postcentral_R,Other
RFC3,66.2374,-7.47351,31.2695253632822,Postcentral_R,Other
RFC4,60.6114,-4.97367,39.5929906471618,Postcentral_R,Other
RFC5,54.6774,-1.38433,48.7398426886853,Precentral_R,Other
RFC6,41.6573,3.59586,58.8138718122691,Frontal_Mid_R,PFC
RFC7,31.9728,4.79608,62.9524088370271,Frontal_Sup_R,PFC
RFC8,21.846,8.37548,69.5961044377366,Frontal_Sup_R,PFC
RFD1,56.5383,-53.2142,49.630094700629,Parietal_Inf_R,Other
RFD2,55.6277,-43.9962,54.4906408824262,Parietal_Inf_R,Other
RFD3,52.4651,-36.4963,56.5634701558664,Parietal_Inf_R,Other
RFD4,47.7267,-28.4961,61.4738858868548,Postcentral_R,Other
RFD5,41.7203,-20.8751,67.2912498315642,Precentral_R,Other
RFD6,37.3532,-10.9692,66.4062250135838,Precentral_R,Other
RFD7,30.3408,-6.42194,68.655517054569,Frontal_Sup_R,PFC
RFD8,22.005,3.30007,71.5374025185756,Outside_AAL,Other
RFE1,27.6849,-60.4195,69.682766029596,Parietal_Sup_R,Other
RFE2,30.8997,-52.3233,70.3441853665058,Parietal_Sup_R,Other
RFE3,30.7692,-43.8645,72.426706518946,Postcentral_R,Other
RFE4,34.6909,-35.1218,72.2440862638236,Postcentral_R,Other
RFE5,23.7257,-27.2834,76.2174425948438,Precentral_R,Other
RFE6,24.0814,-21.0637,76.3562056978179,Precentral_R,Other
RFE7,17.4101,-11.1933,77.4435916633561,Outside_AAL,Other
RFE8,10.4611,-2.45064,76.2977163429356,Supp_Motor_Area_R,Other
RAIH1,0.649073,-0.526912,23.2012706316968,Outside_AAL,Other
RAIH2,-3.6283,5.20166,30.2902471806272,Cingulum_Ant_L,Other
RAIH3,-0.296838,6.36301,37.9558912327188,Cingulum_Mid_L,Other
RAIH4,-0.850352,10.1414,52.6656239112136,Supp_Motor_Area_L,Other
RAIH5,0.444282,11.1816,66.1742756651142,Supp_Motor_Area_L,Other
RAIH6,1.35692,13.7146,69.1161756531732,Outside_AAL,Other
RPIH1,36.3799,-19.9821,69.5710838561295,Precentral_R,Other
RPIH2,28.9445,-12.8913,71.4226765571774,Outside_AAL,Other
RPIH3,18.4315,-10.5721,77.2117522200036,Outside_AAL,Other
RPIH4,8.87223,-3.43098,75.8023524694028,Supp_Motor_Area_R,Other
RPIH5,2.13581,8.39345,72.4880623359311,Outside_AAL,Other
RPIH6,7.92482,15.1509,69.6545062763034,Supp_Motor_Area_R,Other
LOF1,-10.3322,66.3667,-19.4984641035138,Outside_AAL,Other
LOF2,-22.112,62.0482,-17.9889796037569,Outside_AAL,Other
LOF3,-31.2679,57.5346,-19.5732859141098,Outside_AAL,Other
LOF4,-41.2656,58.1676,-14.1888858034037,Outside_AAL,Other
LOF5,-49.5916,49.4801,-14.1980572692523,Outside_AAL,Other
LOF6,-55.547,38.3507,-11.8376688489519,Outside_AAL,Other
LOF7,-59.8757,27.3494,-4.38307422341853,Outside_AAL,Other
LOF8,-62.4394,19.5606,2.95203891307624,Outside_AAL,Other
LFA1,-4.08161,61.8023,21.2302061917403,Frontal_Sup_Medial_L,PFC
LFA2,-11.8367,63.1298,29.6767865557174,Frontal_Sup_Medial_L,PFC
LFA3,-24.5972,56.6509,30.009316835052,Frontal_Mid_L,PFC
LFA4,-30.6139,49.4682,35.1812204169269,Frontal_Mid_L,PFC
LFA5,-39.3832,41.5179,37.1205353863247,Outside_AAL,Other
LFA6,-47.9699,35.4422,31.6736133251046,Frontal_Mid_L,PFC
LFA7,-55.785,26.1211,25.6256759127255,Frontal_Inf_Tri_L,IFG
LFA8,-62.3168,19.567,20.0737881690178,Outside_AAL,Other
LFB1,-11.4666,69.5015,-10.7117975621342,Outside_AAL,Other
LFB2,-9.65699,71.0692,-0.458691538089468,Outside_AAL,Other
LFB3,-5.27964,68.6431,11.2082636497884,Frontal_Sup_Medial_L,PFC
