name,x,y,z,AAL_Label,Broad_ROI
OF1,-0.946358,41.0988,-20.09476714539,Rectus_L,PFC
OF2,-3.24201,41.4197,-18.1860294501359,Rectus_L,PFC
OF3,-6.61619,40.9575,-16.9378607644214,Rectus_L,PFC
OF4,-11.0811,40.8073,-15.9656692847188,Rectus_L,PFC
OF5,-15.6697,39.2393,-14.4988857421805,Frontal_Sup_Orb_L,PFC
OF6,-19.001,38.8315,-11.7009140176961,Frontal_Sup_Orb_L,PFC
OF7,-22.5439,37.5618,-9.19412536440922,Frontal_Mid_Orb_L,PFC
OF8,-26.8195,37.3096,-8.38935607675797,Outside_AAL,Other
OF9,-32.2126,36.611,-6.64365488843717,Frontal_Inf_Orb_L,IFG
OF10,-37.7017,35.2256,-4.95513225412665,Frontal_Inf_Orb_L,IFG
OF11,-43.1437,34.6108,-2.09991348000393,Frontal_Inf_Tri_L,IFG
OF12,-47.1566,34.5841,-1.75397912057604,Frontal_Inf_Tri_L,IFG
OF13,-51.0905,33.9317,-0.253974094513074,Frontal_Inf_Tri_L,IFG
OF14,-53.5778,33.2524,2.70804352740931,Frontal_Inf_Tri_L,IFG
AI1,-32.8224,-1.64015,10.85593801257,Insula_L,Other
AI2,-35.1633,-0.656328,11.7261956395502,Insula_L,Other
AI3,-39.4639,1.02991,11.7138842313683,Rolandic_Oper_L,Other
AI4,-43.9523,1.70314,11.994962507689,Rolandic_Oper_L,Other
AI5,-47.5491,2.51009,11.0581775855049,Rolandic_Oper_L,Other
AI6,-51.7349,3.01147,10.0261659754559,Rolandic_Oper_L,Other
AI7,-56.6717,4.0921,11.4983065403825,Rolandic_Oper_L,Other
AI8,-62.4305,6.65376,10.9938650470084,Frontal_Inf_Oper_L,IFG
MI1,-31.194,-13.0133,13.2833009672607,Insula_L,Other
MI2,-34.8947,-13.2525,13.7053690943448,Insula_L,Other
MI3,-38.5576,-12.3444,14.7402686659379,Insula_L,Other
MI4,-42.9544,-11.6017,14.6976339300888,Rolandic_Oper_L,Other
MI5,-46.0024,-10.8564,14.2073837220714,Rolandic_Oper_L,Other
MI6,-50.9665,-10.3118,13.6917945447108,Rolandic_Oper_L,Other
MI7,-54.8216,-10.602,13.6272342953599,Postcentral_L,Other
MI8,-59.5928,-9.79765,14.8402329726018,Postcentral_L,Other
MI9,-63.0126,-8.27539,14.7526688377728,Postcentral_L,Other
MI10,-66.0118,-6.77638,15.0488793789466,Postcentral_L,Other
PI1,-31.9833,-20.7429,1.96045578257595,Outside_AAL,Other
PI2,-34.2969,-20.5857,1.94442514898121,Outside_AAL,Other
PI3,-39.0756,-20.5481,3.28449450663176,Heschl_L,Temporal
PI4,-43.6025,-19.6111,3.89153688192396,Temporal_Sup_L,Temporal
PI5,-47.782,-20.2899,4.70694825606097,Temporal_Sup_L,Temporal
PI6,-51.1001,-20.3819,4.39055961491623,Temporal_Sup_L,Temporal
PI7,-55.0257,-20.2996,4.2171153382028,Temporal_Sup_L,Temporal
PI8,-58.1306,-21.3319,4.95200764009587,Temporal_Sup_L,Temporal
PI9,-62.2174,-22.1628,3.60327599535153,Temporal_Sup_L,Temporal
PI10,-64.983,-21.4378,5.21774727189689,Temporal_Sup_L,Temporal
A1,-17.7539,1.85174,-26.2664339053518,ParaHippocampal_L,MTL
A2,-20.1979,2.07554,-26.5920536999104,ParaHippocampal_L,MTL
A3,-25.1455,2.64427,-26.6979141348428,Amygdala_L,MTL
A4,-30.1816,3.81009,-27.4381266260406,Outside_AAL,Other
A5,-36.2134,3.88851,-28.1065244956558,Outside_AAL,Other
A6,-43.54,4.98896,-27.4286947629053,Temporal_Mid_L,Temporal
A7,-49.3622,5.06752,-26.5968089163095,Temporal_Mid_L,Temporal
A8,-55.1221,5.88198,-25.4655475431589,Temporal_Mid_L,Temporal
HH1,-24.6556,-4.93883,-25.7384852746469,Hippocampus_L,MTL
HH2,-27.2323,-4.48498,-26.4495002291165,Hippocampus_L,MTL
HH3,-32.2641,-5.59157,-30.1947504403796,Fusiform_L,Occipital
HH4,-39.013,-7.07723,-32.2486539009635,Temporal_Inf_L,Temporal
