name,x,y,z,AAL_Label,Broad_ROI
RFG1,34.4887,6.01587,62.354057546643,Frontal_Mid_R,PFC
RFG2,36.1717,14.5928,59.2724145562616,Frontal_Mid_R,PFC
RFG3,31.799,24.2857,59.025805978948,Outside_AAL,Other
RFG4,31.9971,33.7245,51.3252046884003,Outside_AAL,Other
RFG5,34.5009,39.3168,42.2954820747108,Frontal_Mid_R,PFC
RFG6,37.4769,47.4935,34.4786461415012,Frontal_Mid_R,PFC
RFG7,36.8009,55.2545,27.0421777791526,Outside_AAL,Other
RFG8,34.3301,62.182,16.913847796609,Frontal_Sup_R,PFC
RFG9,44.0072,4.70249,56.1686084106362,Frontal_Mid_R,PFC
RFG10,44.9409,14.1015,50.7809222003535,Frontal_Mid_R,PFC
RFG11,45.5765,20.9642,47.7834989965287,Frontal_Mid_R,PFC
RFG12,45.5408,29.0326,44.5484059956823,Outside_AAL,Other
RFG13,45.9743,35.6043,35.5591810206632,Frontal_Mid_R,PFC
RFG14,45.9416,43.5891,30.0701888457042,Frontal_Mid_R,PFC
RFG15,43.5846,52.2466,21.529886248732,Frontal_Mid_R,PFC
RFG16,42.2651,60.132,10.9118660099403,Frontal_Mid_R,PFC
RFG17,51.7191,-2.4081,52.8926864945772,Frontal_Mid_R,PFC
RFG18,53.7662,9.61143,45.4655875949919,Precentral_R,Other
RFG19,54.4968,15.7271,42.0802994778695,Frontal_Mid_R,PFC
RFG20,54.4961,23.7572,37.0816478053509,Frontal_Mid_R,PFC
RFG21,53.1661,30.7345,30.5538036217717,Frontal_Inf_Tri_R,IFG
RFG22,52.377,38.1194,22.3244877526004,Frontal_Mid_R,PFC
RFG23,49.7025,47.3041,15.1448611343651,Frontal_Mid_R,PFC
RFG24,49.2454,52.1089,6.34919266865317,Frontal_Mid_R,PFC
RFG25,57.1658,-7.16726,47.9938834075632,Precentral_R,Other
RFG26,59.1751,3.88085,42.1448702170537,Precentral_R,Other
RFG27,60.5873,10.6378,35.8875603566667,Precentral_R,Other
RFG28,60.9044,16.1294,31.3618270858149,Frontal_Inf_Oper_R,IFG
RFG29,60.862,23.9171,22.9813747483085,Frontal_Inf_Tri_R,IFG
RFG30,58.7702,31.284,14.9390459773016,Frontal_Inf_Tri_R,IFG
RFG31,56.2202,41.2479,6.51881956530873,Frontal_Inf_Tri_R,IFG
RFG32,54.2522,46.6396,-1.63103799122601,Frontal_Inf_Tri_R,IFG
RIHG1,-0.413425,-22.966,37.8814939641938,Cingulum_Mid_L,Other
RIHG2,-1.0495,-11.4988,36.124434361399,Cingulum_Mid_L,Other
RIHG3,0.92027,-0.035562,33.2016381306847,Cingulum_Mid_L,Other
RIHG4,-0.900898,10.475,29.5564338928047,Cingulum_Ant_L,Other
RIHG5,-0.594467,22.0761,29.9610404100895,Cingulum_Ant_L,Other
RIHG6,-1.5817,32.0075,27.8859108794399,Cingulum_Ant_L,Other
RIHG7,-1.9968,40.1571,20.2195185312296,Cingulum_Ant_L,Other
RIHG8,-1.16887,50.1204,14.9897912503944,Cingulum_Ant_L,Other
RIHG9,0.841415,-21.6216,49.2167105063425,Cingulum_Mid_L,Other
RIHG10,0.828477,-8.15026,49.6428964122405,Cingulum_Mid_L,Other
RIHG11,-0.523434,4.34625,45.0978745347869,Supp_Motor_Area_L,Other
RIHG12,-1.36037,11.1972,41.8854250660677,Cingulum_Mid_L,Other
RIHG13,-1.18364,21.7687,39.9416785725813,Frontal_Sup_Medial_L,PFC
RIHG14,-1.5721,33.213,37.0310500687334,Frontal_Sup_Medial_L,PFC
RIHG15,-1.62301,42.8768,33.082041246387,Frontal_Sup_Medial_L,PFC
RIHG16,-1.91239,50.7996,26.741660404432,Frontal_Sup_Medial_L,PFC
RIHG17,0.632014,-17.3596,60.1415270195176,Supp_Motor_Area_L,Other
RIHG18,-0.697838,-4.50614,59.5607457353759,Supp_Motor_Area_L,Other
RIHG19,0.745023,5.6753,61.1409865032783,Supp_Motor_Area_L,Other
RIHG20,-0.800402,14.3019,57.5996078888995,Supp_Motor_Area_L,Other
RIHG21,-2.43228,24.6716,52.80014870346,Supp_Motor_Area_L,Other
RIHG22,-2.05075,34.4706,47.1967043867125,Frontal_Sup_Medial_L,PFC
RIHG23,-1.74268,44.8366,42.9871915413161,Frontal_Sup_Medial_L,PFC
RIHG24,-1.68331,53.0619,37.4793029217818,Frontal_Sup_Medial_L,PFC
RFPS1,-0.554489,39.946,-24.80810949346,Rectus_L,PFC
RFPS2,2.08679,49.3998,-23.1755735871306,Rectus_R,PFC
RFPS3,2.37007,59.4932,-24.8458994031818,Outside_AAL,Other
RFPS4,8.3048,65.4818,-21.3914364917733,Outside_AAL,Other
RFPS5,15.0706,67.3364,-15.7327793402106,Outside_AAL,Other
RFPS6,24.434,68.0353,-8.89313744045498,Outside_AAL,Other
RFPS7,31.7523,66.8913,-0.571080797161203,Outside_AAL,Other
RFPS8,37.7174,63.4066,4.89492078366172,Outside_AAL,Other
RFLG1,64.5399,-15.3853,37.8001342895056,Postcentral_R,Other
RFLG2,66.0861,-9.59168,32.2521347299091,Postcentral_R,Other
RFLG3,66.9745,-1.69314,24.7425216288462,Postcentral_R,Other
RFLG4,64.6544,7.96828,20.7439025180236,Precentral_R,Other
RFLG5,62.8557,16.6287,13.8820888407203,Frontal_Inf_Oper_R,IFG
RFLG6,61.0456,21.5507,7.11723310106861,Frontal_Inf_Tri_R,IFG
RFLG7,57.6713,28.4256,-5.22694149470651,Frontal_Inf_Orb_R,IFG
RFLG8,54.7614,34.8599,-13.86728138103,Frontal_Inf_Orb_R,IFG
RFLG9,69.3751,-21.5495,29.8160032782699,SupraMarginal_R,Other
RFLG10,68.9982,-14.8229,22.7133262226698,Postcentral_R,Other
RFLG11,68.9951,-7.45514,16.9905489908365,Postcentral_R,Other
RFLG12,66.6983,4.57461,9.48033096427861,Rolandic_Oper_R,Other
RFLG13,63.5353,9.4334,2.24519816723018,Rolandic_Oper_R,Other
RFLG14,58.75,14.5468,-3.38235879118945,Temporal_Pole_Sup_R,Temporal
RFLG15,55.7186,24.8613,-10.2075895248792,Frontal_Inf_Orb_R,IFG
RFLG16,48.741,29.8521,-19.3433300194433,Frontal_Inf_Orb_R,IFG
ROFS1,56.7862,27.0395,-8.04605050430929,Frontal_Inf_Orb_R,IFG
ROFS2,53.8448,36.3701,-13.9624507566934,Frontal_Inf_Orb_R,IFG
ROFS3,47.5557,42.8701,-18.3473267880999,Frontal_Inf_Orb_R,IFG
ROFS4,39.9846,49.5157,-18.1851673120283,Frontal_Mid_Orb_R,PFC
ROFS5,31.4141,56.0611,-19.5004717777324,Outside_AAL,Other
ROFS6,24.561,63.0387,-18.6920184187398,Outside_AAL,Other
ROFS7,16.4022,69.652,-10.9450963668016,Outside_AAL,Other
ROFS8,5.49124,70.9858,-3.46703394081131,Frontal_Med_Orb_R,PFC
RTS1,53.4926,-62.8295,-19.234944508732,Temporal_Inf_R,Temporal
RTS2,61.6682,-57.6459,-21.6642116570672,Temporal_Inf_R,Temporal
RTS3,69.5071,-53.3979,-16.2023567049731,Outside_AAL,Other
RTS4,73.1651,-43.4576,-9.91255006091157,Outside_AAL,Other
RTS5,73.041,-35.5825,1.36889773027249,Outside_AAL,Other
RTS6,70.2666,-27.3442,7.94569552884444,Temporal_Sup_R,Temporal
RTS7,70.399,-19.6642,9.35873472354331,Temporal_Sup_R,Temporal
RTS8,68.5032,-6.36344,14.4455421951358,Postcentral_R,Other
RPS1,14.6074,71.6445,7.79557423266964,Frontal_Sup_Medial_R,PFC
RPS2,16.7705,68.0235,19.8824586727832,Frontal_Sup_R,PFC
RPS3,20.4781,63.9309,28.1292745636377,Frontal_Mid_R,PFC
RPS4,18.298,55.6433,37.8827818803456,Frontal_Sup_R,PFC
RPS5,21.5611,47.0802,44.3103737670896,Frontal_Sup_R,PFC
RPS6,20.5634,38.9874,52.732427885623,Frontal_Sup_R,PFC
RPS7,21.9402,31.7454,57.8750241057467,Frontal_Sup_R,PFC
RPS8,23.2401,22.3797,62.145467376653,Frontal_Sup_R,PFC
LIHG26,0.0,0.0,,Outside_AAL,Other
LIHG28,0.0,0.0,,Outside_AAL,Other
LIHG30,0.0,0.0,,Outside_AAL,Other
LIHG32,0.0,0.0,,Outside_AAL,Other
LIHG33,2.2238,-22.3909,47.0353080307578,Cingulum_Mid_R,Other
LIHG35,-0.0487001,3.4171,40.6427854889969,Cingulum_Mid_L,Other
LIHG37,-0.562082,22.403,35.914508873785,Cingulum_Mid_L,Other
LIHG39,0.0,0.0,,Outside_AAL,Other
LIHG41,1.17718,-18.2943,57.3372786872538,Supp_Motor_Area_R,Other
LIHG43,1.51636,7.72928,57.0908233575764,Supp_Motor_Area_R,Other
LIHG45,-1.8309,23.5962,49.3868580896775,Supp_Motor_Area_L,Other
LIHG48,0.0,0.0,,Outside_AAL,Other
LAFS1,-47.1335,50.176,-17.2845143566612,Outside_AAL,Other
LAFS2,-47.5422,56.1958,-8.40117171625894,Outside_AAL,Other
LAFS4,-40.5911,59.0854,8.61345185192969,Outside_AAL,Other
LAFS5,-34.6174,57.3484,24.5583011968287,Outside_AAL,Other
LAFS7,-25.9139,48.0168,43.0002139925721,Outside_AAL,Other
LAFS8,-22.4638,42.0856,50.6331131349826,Outside_AAL,Other
LPFS1,-68.2891,6.38992,7.25078649298881,Outside_AAL,Other
LPFS2,-65.379,10.3577,18.0360739620502,Outside_AAL,Other
LPFS4,-52.7129,16.4587,40.0373954404066,Frontal_Mid_L,PFC
LPFS5,-47.667,19.8124,45.997692872846,Frontal_Mid_L,PFC
LPFS7,-32.6636,27.1764,51.9756631525983,Frontal_Mid_L,PFC
LPFS8,-22.5069,31.2459,56.126174217747,Frontal_Sup_L,PFC
