name,x,y,z,AAL_Label,Broad_ROI
1LD1,-17.0455,0.589207,-15.7705981681878,Amygdala_L,MTL
1LD2,-21.8079,3.16043,-16.3890103961067,Olfactory_L,PFC
1LD3,-25.8976,2.26206,-17.1175222895675,Amygdala_L,MTL
1LD4,-30.6443,0.649271,-18.1498730580783,Amygdala_L,MTL
1LD5,-36.7035,-0.223007,-17.3374983224216,Outside_AAL,Other
1LD6,-43.0088,-1.06972,-15.139776827714,Temporal_Mid_L,Temporal
1LD7,-49.8026,-3.50751,-16.3545713333938,Temporal_Mid_L,Temporal
1LD8,-57.2491,-3.06205,-15.7141605177349,Temporal_Mid_L,Temporal
1LD9,-62.2476,-2.88273,-14.5217471571944,Temporal_Mid_L,Temporal
1LD10,-66.8637,-2.83159,-14.3709038087383,Outside_AAL,Other
3LD1,-22.2766,-6.06572,-15.9832391579596,Amygdala_L,MTL
3LD2,-26.8679,-7.41175,-15.155175284501,Hippocampus_L,MTL
3LD3,-31.0095,-7.4398,-17.0206058256913,Hippocampus_L,MTL
3LD4,-36.8233,-7.66498,-17.3334831368646,Outside_AAL,Other
3LD5,-42.4806,-8.49216,-14.7740567229913,Temporal_Sup_L,Temporal
3LD6,-48.5551,-10.8101,-15.1358699048929,Temporal_Mid_L,Temporal
3LD7,-55.6377,-12.1714,-14.5140032288136,Temporal_Mid_L,Temporal
3LD8,-61.3341,-11.7088,-13.1633147839944,Temporal_Mid_L,Temporal
3LD9,-66.2559,-11.7416,-11.6720357488332,Temporal_Mid_L,Temporal
3LD10,-69.734,-12.9742,-9.35499941181742,Outside_AAL,Other
5LD1,-24.3916,-15.4928,-13.6304049076723,Hippocampus_L,MTL
5LD2,-28.1728,-18.1932,-12.8064228564158,Hippocampus_L,MTL
5LD3,-33.4346,-19.1145,-13.7423657730271,Hippocampus_L,MTL
5LD4,-37.3292,-21.7582,-12.8610178058599,Outside_AAL,Other
5LD5,-40.5766,-23.3614,-12.6957892127605,Outside_AAL,Other
5LD6,-48.7614,-23.5392,-9.61220779911319,Temporal_Mid_L,Temporal
5LD7,-55.1915,-23.3924,-9.24731758808632,Temporal_Mid_L,Temporal
5LD8,-60.7965,-24.5271,-7.60448291211058,Temporal_Mid_L,Temporal
5LD9,-65.2227,-27.2944,-5.26229816507643,Temporal_Mid_L,Temporal
5LD10,-69.0481,-28.9523,-3.68752691535087,Temporal_Mid_L,Temporal
7LD1,-22.434,-31.0896,-6.6712247173418,Hippocampus_L,MTL
7LD2,-26.4801,-33.8351,-4.83341754956614,Hippocampus_L,MTL
7LD3,-29.8925,-37.9058,-3.96250201434042,Hippocampus_L,MTL
7LD4,-33.2665,-41.7864,-4.09342260833107,Outside_AAL,Other
7LD5,-36.3871,-44.7488,-2.87758036379164,Outside_AAL,Other
7LD6,-40.253,-46.9283,-2.02153102234071,Outside_AAL,Other
