name,x,y,z,AAL_Label,Broad_ROI
GTP1,73.4356,-30.1856,-7.38604761468387,Outside_AAL,Other
GTP2,73.8279,-38.4845,-2.56477795750992,Outside_AAL,Other
GTP3,71.6138,-45.8314,2.56492066679666,Outside_AAL,Other
GTP4,68.4696,-55.901,7.14254448264769,Outside_AAL,Other
GTP5,62.7116,-62.9939,8.48108430337773,Temporal_Mid_R,Temporal
GTP6,56.4869,-73.4411,9.8330764166234,Outside_AAL,Other
GTP7,49.541,-82.3597,17.2910293136687,Outside_AAL,Other
GTP8,43.0363,-89.3838,18.1958132899072,Outside_AAL,Other
GTP9,70.9801,-26.2407,5.1242148476814,Temporal_Sup_R,Temporal
GTP10,71.3823,-33.8691,8.89665943403558,Temporal_Sup_R,Temporal
GTP11,71.3638,-43.562,12.3477855472508,Outside_AAL,Other
GTP12,67.888,-54.2633,13.8825359120685,Outside_AAL,Other
GTP13,60.7729,-62.3328,16.2997358605614,Temporal_Mid_R,Temporal
GTP14,58.9322,-69.5333,20.6950240634931,Temporal_Mid_R,Temporal
GTP15,50.3179,-77.8033,26.6827973376347,Outside_AAL,Other
GTP16,43.2941,-85.0498,29.705150688602,Outside_AAL,Other
GTP17,67.919,-17.1726,5.75022656369828,Temporal_Sup_R,Temporal
GTP18,69.9031,-24.4239,12.9955496046572,Temporal_Sup_R,Temporal
GTP19,68.559,-34.3481,19.684114666572,Temporal_Sup_R,Temporal
GTP20,68.0394,-40.4586,26.7418182796361,SupraMarginal_R,Other
GTP21,66.903,-47.1249,29.6390952258726,SupraMarginal_R,Other
GTP22,61.3957,-53.9891,37.0577353645153,Parietal_Inf_R,Other
GTP23,54.4039,-60.4066,44.2421661007651,Angular_R,Other
GTP24,47.5693,-67.6179,48.0873326631379,Angular_R,Other
GTP25,69.1461,-10.3748,11.3546155720926,Temporal_Sup_R,Temporal
GTP26,69.7205,-17.5621,19.8553409753937,SupraMarginal_R,Other
GTP27,68.6821,-26.9547,25.760714974605,SupraMarginal_R,Other
GTP28,67.7449,-34.9758,34.2079749726387,SupraMarginal_R,Other
GTP29,64.9356,-41.9445,39.5128622350345,SupraMarginal_R,Other
GTP30,59.1834,-48.6875,44.9690439086095,Parietal_Inf_R,Other
GTP31,52.2276,-54.5793,53.0706157321354,Parietal_Inf_R,Other
GTP32,44.0021,-61.8289,56.5230707326872,Parietal_Inf_R,Other
GT33,40.228,16.799,-46.7574024864109,Outside_AAL,Other
GT34,49.9236,16.9157,-42.0678869760374,Temporal_Pole_Mid_R,Temporal
GT35,56.1049,13.5131,-36.2803067354742,Temporal_Pole_Mid_R,Temporal
GT36,61.3975,5.9459,-26.8062608037076,Temporal_Mid_R,Temporal
GT37,63.2346,2.0537,-17.7721592172564,Temporal_Mid_R,Temporal
GT38,66.6486,-3.12022,-8.6962476547847,Temporal_Sup_R,Temporal
GT39,67.788,-5.80682,3.13090005522064,Temporal_Sup_R,Temporal
GT40,68.8036,-14.0181,13.2898547379427,Postcentral_R,Other
GT41,36.0318,24.0743,-42.447283428988,Outside_AAL,Other
GT42,44.7991,23.5567,-37.6089036787793,Temporal_Pole_Mid_R,Temporal
GT43,50.4716,21.623,-28.642267331269,Temporal_Pole_Mid_R,Temporal
GT44,57.0901,16.7059,-19.7295065663954,Temporal_Pole_Sup_R,Temporal
GT45,62.1642,6.031,-7.56809150768525,Temporal_Pole_Sup_R,Temporal
GT46,65.2521,4.65164,0.0612959326368689,Temporal_Pole_Sup_R,Temporal
GT47,65.542,2.54283,8.68498092274177,Rolandic_Oper_R,Other
GT48,67.6149,-3.96748,17.7082677184031,Postcentral_R,Other
GTP49,55.1603,28.7751,28.4162431978692,Frontal_Inf_Tri_R,IFG
GTP50,58.6775,17.3116,32.8674841575332,Frontal_Inf_Oper_R,IFG
GTP51,58.9794,11.5814,37.8406060475578,Precentral_R,Other
GTP52,59.9114,1.17209,39.4139857858289,Precentral_R,Other
