name,x,y,z,AAL_Label,Broad_ROI
LB1,-25.5533,-13.4487,-23.657225295824,Hippocampus_L,MTL
LB2,-29.085,-12.7094,-24.1872562461225,Outside_AAL,Other
LB3,-34.6535,-11.2836,-24.3987730029881,Fusiform_L,Occipital
LB4,-39.6404,-11.1163,-25.919682441959,Temporal_Inf_L,Temporal
LB8,-53.3135,-4.53776,-22.356831650616,Temporal_Mid_L,Temporal
LB9,-57.3299,-3.21691,-20.4318981494683,Temporal_Mid_L,Temporal
LB10,-62.5403,-2.46556,-20.2767367407529,Temporal_Mid_L,Temporal
LA2,-18.09,-0.885538,-24.6190521490186,ParaHippocampal_L,MTL
LA3,-21.7454,0.482633,-24.7808203869679,Amygdala_L,MTL
LA4,-25.4989,1.51093,-23.477430161156,Amygdala_L,MTL
LA5,-28.7702,1.2413,-22.4776435919273,Amygdala_L,MTL
LA6,-33.5298,1.80949,-20.0558408891356,Outside_AAL,Other
LA8,-41.9809,3.01348,-17.0045697967042,Temporal_Pole_Sup_L,Temporal
LA10,-51.7939,4.66548,-13.4759180923415,Temporal_Sup_L,Temporal
LI2,-23.5601,3.38178,-36.7443077042089,Temporal_Pole_Mid_L,Temporal
LI3,-26.5703,4.57155,-36.5673828090599,Temporal_Pole_Mid_L,Temporal
LI4,-28.9237,5.25744,-36.041770422415,Temporal_Pole_Mid_L,Temporal
LI5,-32.5316,6.66318,-34.2735417501932,Temporal_Pole_Mid_L,Temporal
LI8,-40.731,9.4462,-32.0915993334187,Temporal_Pole_Mid_L,Temporal
LI10,-45.7591,12.5276,-29.1070066715637,Temporal_Pole_Mid_L,Temporal
LC1,-25.9434,-27.5249,-14.5046267112032,ParaHippocampal_L,MTL
LC2,-31.2431,-26.8875,-15.0236042946602,Hippocampus_L,MTL
LC3,-33.9567,-27.7335,-14.1699475721726,Hippocampus_L,MTL
LC7,-52.1423,-23.1247,-9.41084228719545,Temporal_Mid_L,Temporal
LC10,-63.8766,-19.7327,-5.20013726314939,Temporal_Mid_L,Temporal
LV1,-9.49604,-67.2865,-8.02031943862248,Lingual_L,Occipital
LV2,-11.8686,-66.213,-7.63773920108839,Lingual_L,Occipital
LV3,-15.9703,-67.2639,-5.50169996616019,Lingual_L,Occipital
LV4,-18.9682,-66.7081,-4.49364658699909,Lingual_L,Occipital
LV10,-41.1851,-65.928,-2.16626979071571,Occipital_Mid_L,Occipital
LV11,-43.9189,-64.9393,-0.0072107624743649,Temporal_Mid_L,Temporal
LV12,-47.2884,-63.4902,0.167215613404007,Temporal_Mid_L,Temporal
LV13,-49.8335,-60.8702,-1.80207463318608,Temporal_Mid_L,Temporal
LV14,-54.1159,-57.2457,-3.37945078856461,Temporal_Mid_L,Temporal
LP1,-9.81037,-72.5575,35.8690160089269,Precuneus_L,Other
LP2,-15.6534,-69.7818,37.9151184253576,Occipital_Sup_L,Occipital
LP4,-29.2971,-69.2224,38.1412744676313,Occipital_Mid_L,Occipital
LP5,-33.1876,-66.7822,37.2959570398507,Occipital_Mid_L,Occipital
LP7,-39.2584,-63.4501,32.8184514519581,Angular_L,Other
LP9,-57.5024,-54.7459,34.2185393028544,Angular_L,Other
LP10,-61.9523,-53.1746,34.2602111708285,Outside_AAL,Other
LX1,-1.85721,-51.3237,25.9840828731586,Cingulum_Post_L,Other
LX2,-9.37654,-53.3276,26.7387603001879,Precuneus_L,Other
LX3,-14.6122,-53.3592,28.1522878478497,Outside_AAL,Other
LX7,-34.7598,-52.7587,34.4680430667794,Angular_L,Other
LX8,-39.6099,-51.6812,35.587093059236,Parietal_Inf_L,Other
LX9,-47.468,-52.4335,33.4382902606838,Angular_L,Other
LM1,-1.55215,-15.1573,63.8983410034836,Paracentral_Lobule_L,Other
LM2,-4.20457,-14.2965,63.8806064708107,Supp_Motor_Area_L,Other
LM3,-8.42348,-10.9804,62.4204718092657,Supp_Motor_Area_L,Other
LM4,-12.1115,-9.65506,61.9428578944195,Supp_Motor_Area_L,Other
LM5,-15.5826,-7.51115,59.8507084362896,Outside_AAL,Other
LM8,-31.373,-0.106918,56.4343816650267,Precentral_L,Other
LM9,-34.8364,-0.626915,58.9398949847544,Precentral_L,Other
LM10,-37.522,-1.45933,59.2225298268824,Precentral_L,Other
LM11,-40.0527,-1.03377,60.1234347943935,Precentral_L,Other
LM12,-42.7182,1.29058,58.9751077027126,Precentral_L,Other
LQ1,1.33437,-15.5596,41.3573510420098,Cingulum_Mid_R,Other
LQ2,-7.09833,-15.1657,41.6567177142912,Cingulum_Mid_L,Other
LQ3,-12.3579,-14.4849,41.657076757451,Cingulum_Mid_L,Other
LQ7,-40.1901,-9.47999,42.9374928534622,Precentral_L,Other
LQ8,-47.0437,-7.41358,44.7323722055124,Precentral_L,Other
LQ9,-53.9014,-5.09313,46.9392213989063,Postcentral_L,Other
LY1,-43.1793,7.30483,-5.04966943725435,Insula_L,Other
LY2,-40.3119,8.35674,0.558637520577009,Insula_L,Other
LY3,-37.5525,10.9027,7.74235977152342,Insula_L,Other
LY7,-28.9872,24.3451,35.0459643914339,Frontal_Mid_L,PFC
LY8,-27.9744,26.2802,43.7419539690051,Frontal_Mid_L,PFC
LY9,-29.6694,29.8871,50.8871254115172,Frontal_Mid_L,PFC
LO1,4.8311,-3.09341,61.3459876479005,Supp_Motor_Area_R,Other
LO2,7.49155,-4.10092,60.8202314245239,Supp_Motor_Area_R,Other
LO3,12.758,-4.17533,58.0278257546793,Supp_Motor_Area_R,Other
LO4,18.585,-6.06334,57.053509637715,Frontal_Sup_R,PFC
LO7,29.5219,-7.22316,53.8817686110431,Precentral_R,Other
LO8,35.0825,-4.78926,52.8440092998079,Frontal_Mid_R,PFC
LO10,41.0945,-5.09457,51.2738127162205,Frontal_Mid_R,PFC
LO12,49.3396,-10.4457,48.6904209314751,Precentral_R,Other
LO13,52.637,-10.6411,48.2883732733206,Precentral_R,Other
RB1,22.6636,-12.0836,-28.3472598158811,ParaHippocampal_R,MTL
RB2,27.227,-11.189,-27.3205139504929,ParaHippocampal_R,MTL
RB4,37.7443,-12.159,-27.9738325434576,Fusiform_R,Occipital
RB6,46.8615,-9.83212,-27.2775183623686,Temporal_Inf_R,Temporal
RB7,52.5085,-9.84115,-27.1126250269505,Temporal_Inf_R,Temporal
RB8,57.7809,-10.141,-27.3597149653945,Temporal_Inf_R,Temporal
RB9,63.5898,-10.3612,-27.2723682525546,Temporal_Inf_R,Temporal
RC1,26.8194,-32.9264,-11.4731645137759,ParaHippocampal_R,MTL
RC2,31.8561,-33.9149,-11.8028093562252,ParaHippocampal_R,MTL
RC7,54.9455,-32.4305,-7.05853629230724,Temporal_Mid_R,Temporal
RC8,59.4214,-32.1164,-4.64431361030342,Temporal_Mid_R,Temporal
RC9,65.392,-32.0747,-1.95450143970015,Temporal_Mid_R,Temporal
RI2,21.6382,4.64917,-37.492925178454,Temporal_Pole_Mid_R,Temporal
RI3,24.5656,3.8487,-36.6684868018627,Temporal_Pole_Mid_R,Temporal
RI6,39.2912,6.52957,-33.4637846674859,Temporal_Pole_Mid_R,Temporal
RI7,41.6878,6.74116,-32.74095583872,Temporal_Pole_Mid_R,Temporal
RI9,49.2234,9.00131,-31.9899078289969,Temporal_Pole_Mid_R,Temporal
RI10,52.7039,7.61157,-32.4212398781049,Temporal_Pole_Mid_R,Temporal
RQ1,-0.219191,27.182,19.3310123258,Cingulum_Ant_L,Other
RQ2,5.02721,24.0891,17.6225746218834,Cingulum_Ant_R,Other
RQ5,27.2817,20.4915,17.2064895371315,Outside_AAL,Other
RQ7,45.5153,12.8344,16.5122839133943,Frontal_Inf_Oper_R,IFG
RQ8,52.4734,11.4571,14.5351892193246,Frontal_Inf_Oper_R,IFG
RQ9,58.3605,13.1102,13.3750753812118,Frontal_Inf_Oper_R,IFG
RO1,1.62693,34.2077,-25.3241725072004,Rectus_L,PFC
RO2,6.72796,34.0972,-22.8376934757828,Rectus_R,PFC
RO3,13.409,32.7469,-19.9613854568411,Rectus_R,PFC
RO4,19.5341,32.0499,-15.6022875559785,Frontal_Sup_Orb_R,PFC
RO5,24.7414,32.3832,-10.7318458371653,Outside_AAL,Other
RO6,31.7822,31.6994,-6.61589236641862,Frontal_Inf_Orb_R,IFG
RO7,37.6257,31.9666,-2.90190070277953,Frontal_Inf_Orb_R,IFG
RO8,43.5959,28.1685,-0.505853847172967,Frontal_Inf_Tri_R,IFG
RO9,49.7073,25.3547,3.19240889094215,Frontal_Inf_Tri_R,IFG
RM1,-0.846746,42.276,-17.7851340307618,Rectus_L,PFC
RM3,-6.59921,44.638,-16.9400267088441,Rectus_L,PFC
RM4,-9.94193,44.2283,-16.2831422450054,Rectus_L,PFC
RM6,-18.622,43.1833,-14.5504212323974,Frontal_Sup_Orb_L,PFC
RM7,-23.5442,43.3444,-14.9043949581025,Frontal_Sup_Orb_L,PFC
RM8,-29.5881,43.3708,-15.2501410796403,Frontal_Inf_Orb_L,IFG
RM10,-34.2198,46.7968,-15.2757151399357,Frontal_Inf_Orb_L,IFG
RM11,-38.7095,49.7346,-13.4527720423752,Frontal_Inf_Orb_L,IFG
RM12,-42.5397,51.537,-11.7595583263851,Frontal_Inf_Orb_L,IFG
RY1,39.4932,1.32054,-13.2989871875211,Insula_R,Other
RY2,39.4701,2.56973,-4.63523506178823,Insula_R,Other
RY3,38.3048,3.84462,3.40407021472512,Insula_R,Other
RY4,40.0926,6.54273,10.717706623008,Insula_R,Other
RY7,41.1063,20.5818,31.2994951627556,Frontal_Mid_R,PFC
RY8,39.787,28.2743,38.125995768187,Frontal_Mid_R,PFC
